id,school_name,longitude,latitude
100252,Barabar Elementary School,120.6209189,18.1550375
100253,Bingao Elementary School,120.5828346,18.1360131
100254,Bugnay Elementary School,120.5915654,18.1253772
100255,Catuguing Elementary School,120.59551,18.15334
100256,Eladio V Barangan Memorial Elementary School,120.5889168,18.174587
100257,Filipinas East Elementary School,120.60596,18.16901
100258,Pasion Barangan Memorial Elementary School,120.627789,18.16021
100259,Cayetano Bumanglag Elementary School,120.57585,18.16067
100260,San Nicolas Elementary School,120.5943402,18.1730129
100261,Binaratan Elementary School,120.6544106,18.1750744
100262,Cabuloan Elementary School,120.68007,18.15068
100263,Golgol Elementary School,120.6608168,18.137726
100265,Parang Elementary School,120.67001,18.14014
100266,Patad Elementary School,120.6333894,18.1578982
100267,Ruiz Elementary School,120.6396367,18.1154726
100268,Sagpatan Elementary School,120.665144,18.1539657
100269,San Antonio Elementary School,120.632407,18.136435
100270,San Bernabe Elementary School,120.619844,18.102274
100271,Sarrat Central School,120.64453,18.15475
100272,Sarrat North Central School,120.6481808,18.1608484
100273,Sta. Rosa Elementary School,120.62809,18.12427
100274,Bagbag Elementary School,120.754609,18.13046
100275,Bagbago Elementary School,120.7592867,18.0776609
100276,Barcelona Elementary School,120.7658031,18.1076996
100277,Catangraran Elementary School,120.7992258,18.0792151
100278,Darasdas Elementary School,120.7785154,18.1114221
100279,Lipay Elementary School,120.8079869,18.1158242
100280,Maananteng Elementary School,120.81157,18.09815
100281,Manalpac Elementary School,120.7937,18.09089
100282,Nagpatpatan Elementary School,120.78003,18.06572
100283,San Juan Elementary School,120.74424,18.11823
100284,Santiago Elementary School,120.742162,18.0987
100285,Solsona Central Elementary School,120.7698096,18.091319
100286,Sta. Ana Elementary School,120.79536,18.05637
100287,Talugtog Elementary School,120.7972,18.1058
100288,Alsem Elementary School,120.70934,18.29858
100289,Bago Elementary School,120.7312371,18.3420554
100291,Cabangaran Elementary School,120.7560752,18.3604388
100292,Canaam Elementary School,120.7884683,18.3044422
100293,Danao Elementary School,120.741875,18.344758
100294,Dimamaga Elementary School,120.7394705,18.3044798
100295,Dipilat Elementary School,120.71897,18.30283
100296,Esperanza Elementary School,120.7289,18.33574
100297,Ester Elementary School,120.70609,18.2254
100298,Gubang Elementary School,120.7926473,18.3246366
100299,Margaay Elementary School,120.653388,18.214906
100300,Masadsaduel Elementary School,120.7585125,18.299631
100301,Namoroc–Mabanbanag Elementary School,120.7153073,18.2119691
100302,Alnamang Elementary School,125.0589247,6.3274017
100303,Sagpat Elementary School,120.72431,18.26531
100304,Tamdagan Elementary School,120.7320094,18.3225377
100305,Vintar Central Elementary School,120.6494695,18.2297703
100306,Visaya Elementary School,120.6896281,18.2544695
100307,Abkir Elementary School,120.65191,18.24732
100308,Alejo Malasig Elementary School,120.63806,18.21729
100309,Cabayo Elementary School,120.75212,18.39587
100310,Cabisuculan–Columbia Elementary School,120.65774,18.257199
100311,Dasar Elementary School,120.788684,18.393818
100313,Isic–Isic Elementary School,120.763,18.39925
100314,Lipay Elementary School,120.7338102,18.355218
100315,Lubnac Elementary School,120.6703412,18.2211216
100316,Magabobo Elementary School,120.6809127,18.2629865
100317,Malampa Elementary School,120.66692,18.2695
100318,Manarang Elementary School,120.68534,18.29225
100319,Parparoroc Elementary School,120.67596,18.22986
100320,Parut Elementary School,120.63027,18.22918
100322,Salsalamagui Elementary School,120.67575,18.24364
100323,Saricao Elementary School,120.7357356,18.3815398
100324,Tungel Elementary School,120.7856,18.4085
100325,Aguiwas Elementary School,120.5717321,16.90863059
100326,Alilem Central School,120.52741,16.88814
100327,Amilongan Elementary School,120.5801155,16.85796648
100328,Anaao Elementary School,120.545532,16.874814
100329,Apang Elementary School,120.5907,16.86361
100330,Apaya Elementary School,120.5834443,16.88243226
100331,Banga Elementary School,120.5475639,16.8223082
100332,Batbato Elementary School,120.5650654,16.91306566
100333,Calipayan Elementary School,120.5186394,16.85961348
100334,Caoayan Elementary School,120.51681,16.85095
100335,Daddaay Elementary School,120.5876591,16.90485064
100336,Dalawa Elementary School,120.517052,16.90186
100337,Danac Elementary School,120.516664,16.850047
100338,Kiat Elementary School,120.5220473,16.8728079
100339,Guilong Primary School,120.5201966,16.93201058
100340,Licungan Elementary School,120.56097,16.736793
100341,Nagawa Elementary School,120.5799358,16.78967433
100342,Naonao Elementary School,120.6263728,16.92118919
100343,Palasipas Elementary School,120.51993,16.91666
100344,Sugpon Central School,120.516764,16.842738
100345,Tangilig Elementary School,120.5601649,16.8125568
100346,Banayoyo Central School,120.4795019,17.235368
100347,Banlo Elementary School,120.50143,17.22028
100348,Banucal Elementary School,120.55008,17.28546
100349,Bay–Asan Elementary School,120.501886,17.269943
100350,Bequi–Walin Elementary School,120.5294645,17.2854251
100351,Cangao Elementary School,120.61982,17.19058
100352,Casilagan Elementary School,120.468829,17.2362657
100354,Lancuas Elementary School,120.591495,17.251665
100355,Lidaoan Elementary School,120.6623209,17.21212653
100356,Lidlidda North Central School,120.52059,17.26869
100357,Lidlidda South Central School,120.520655,17.253852
100358,Masiosioay Elementary School,120.6448,17.2393
100359,Matibuey Elementary School,120.67784,17.220527
100360,Montero Elementary School,120.490981,17.2207302
100361,Naguimba Elementary School,120.488034,17.242103
100362,Paltoc Elementary School,120.5707468,17.2284622
100363,Mangmangga Elementary School,120.5566397,17.2059704
100364,San Emilio East Central School,120.61838,17.22622
100365,San Emilio West Central School,120.57844,17.2359418
100366,Sibsibbu Elementary School,120.5731,17.2982
100367,Tay–Ac Elementary School,120.53728,17.24076
100368,Balaleng Elementary School,120.3853,17.5867
100369,Banaoang Elementary School,120.39007,17.592199
100370,Bantay East Central School,120.3906402,17.5802735
100372,Bulag Elementary School,120.425671,17.5907112
100373,Cabusligan–Quimmarayan Elementary School,120.428465,17.6110973
100374,Capangdanan Elementary School,120.41319,17.60125
100375,Guimod Elementary School,120.39264,17.60097
100376,Lingsat Elementary School,120.46149,17.621577
100377,Malingeb Elementary School,120.425432,17.606622
100378,Ora East Elementary School,120.4218507,17.5965329
100379,Ora West Elementary School,120.416308,17.594628
100380,Paing Elementary School,120.450808,17.579372
100381,Sallacong Elementary School,120.4878,17.55263
100382,San Julian Elementary School,120.40866,17.57695
100383,Silang Elementary School,120.405061,17.585307
100384,Taguiporo Elementary School,120.4296827,17.5788968
100385,Tay–Ac Elementary School,120.4465367,17.6096943
100386,Ansad Elementary School,120.4619683,17.3261104
100387,Apatot Community School,120.4286519,17.3193014
100388,Bessang Elementary School,120.53505,17.29681
100389,Burgos Central School,120.4942184,17.3337957
100390,Cabcaburao Elementary School,120.507714,17.335822
100391,Lubing Elementary School,120.5373761,17.3132504
100392,Luna Community School,120.5096126,17.3157845
100393,Macaoayan Community School,120.495144,17.3253047
100394,Mambug Elementary School,120.48674,17.35078
100395,Padayao Elementary School,120.4980361,17.3144956
100396,Patac Elementary School,120.5184,17.297308
100397,San Esteban North Central School,120.444898,17.335204
100398,San Esteban South Central School,120.4457581,17.3297456
100399,Aragan Elementary School,120.49807,17.78106
100400,Arnap Elementary School,120.48897,17.7749
100401,Bungro–Margaay Elementary School,120.4475194,17.8118953
100402,Cabugao North Central School,120.45643,17.79411
100404,Caellayan Elementary School,120.496376,17.807416
100405,Carusipan Elementary School,120.4974113,17.7740361
100406,Caset Primary School,120.45,17.80001
100407,Catucdaan Elementary School,120.50815,17.79814
100408,Cuantacla–Sagsagat Elementary School,120.494891,17.7666022
100409,Daclapan Elementary School,120.4169186,17.7981705
100410,Dardarat Elementary School,120.4249715,17.7782209
100411,Lipit–Cuancabal Elementary School,120.48181,17.77142
100412,Maradodon Elementary School,120.5074,17.8198
100413,Nagsantaan Elementary School,120.4854,17.82394
100414,Nagsincaoan Elementary School,120.50123,17.753503
100415,Namruangan Elementary School,120.4265888,17.8032861
100416,Pila Elementary School,120.44451,17.77584
100417,Pug–Os Elementary School,120.4562735,17.8191617
100418,Reppaac–Bato Elementary School,120.47162,17.81924
100419,Sabang Elementary School,120.403112,17.793537
100420,Sagayaden Elementary School,120.4545793,17.7672694
100421,Salapasap Elementary School,120.4354486,17.8111843
100422,Salomague Elementary School,120.42013,17.78184
100423,Sisim Elementary School,120.4883686,17.7878647
100424,Turod Elementary School,120.43213,17.78999
100425,Allangigan Elementary School,120.4881351,17.1663899
100426,Amguid Elementary School,120.5008507,17.1800121
100427,Ayudante Elementary School,120.44034,17.16304
100428,Bagani Elementary School,120.4541544,17.202587
100429,Bagani–Tocgo Elementary School,120.4650151,17.1876413
100430,Bagar Elementary School,120.4463134,17.2091639
100431,Balingaoan Elementary School,120.4448962,17.2281814
100433,Calaoa–An Elementary School,120.4414558,17.168084
100434,Calongbuyan Elementary School,120.4346879,17.1740049
100435,Candon North Central School,120.4463487,17.1883139
100436,Candon South Central School,120.4464495,17.1877837
100437,Caterman Elementary School,120.423341,17.2147733
100438,Filomeno G. Gagarin Elementary School,120.4217049,17.22364
100439,Cubcubbuot Elementary School,120.4909265,17.1565515
100440,Darapidap Elementary School,120.4198265,17.1974365
100442,Oaig–Daya Elementary School,120.4584328,17.1772523
100443,Parioc East Elementary School,120.4718828,17.1626612
100444,Parioc Elementary School,120.460199,17.163897
100445,Patpata Elementary School,120.4320486,17.1628623
100447,Salvador Elementary School,120.4746885,17.2287855
100448,Sto. Tomas Elementary School,120.49375,17.17626
100449,Tablac Elementary School,120.4639446,17.2179238
100450,Talogtog Elementary School,120.4305661,17.2093593
100451,Tamurong Elementary School,120.4083359,17.212608
100452,Ubbog Elementary School,120.458976,17.1920385
100453,Anonang–Naguilian Community School,120.3947919,17.5535135
100454,Baggoc Elementary School,120.37461,17.54143
100455,Cal–Laguip Elementary School,120.37776,17.54734
100456,Caoayan Central School,120.3850695,17.5502111
100457,Fuerte Elementary School,120.36752,17.53509
100458,Pantay Tamurong Elementary School,120.406094,17.528622
100459,Pandan Elementary School,120.3704525,17.5376256
100460,Puro Elementary School,120.4016873,17.508196
100461,Villamar Elementary School,120.38483,17.52607
100462,Aluling Elementary School,120.7643697,16.9771432
100463,Bab–Asig Primary School,120.75432,17.11381
100465,Baybayatin Elementary School,120.689869,17.078319
100466,Bissayot Elementary School,120.74586,16.94404
100467,Bucnit Elementary School,120.721608,17.08448
100468,Cayus Elementary School,120.668328,17.152547
100469,Cervantes Central School,120.735985,16.990413
100471,Comillas South Elementary School,120.74001,16.92606
100472,Dagman Primary School,120.6695741,17.1100124
100474,Dinwede Elementary School,120.63749,16.89811
100475,Iteb Elementary School,120.67857,17.1573
100476,Lamag Elementary School,120.7254661,17.1455788
100477,Lamagan Elementary School,120.70153,16.99017
100478,Libang Elementary School,120.6884754,17.049461
100479,Liqueo Elementary School,120.6822556,17.0018199
100480,Malaya Elementary School,120.699592,16.97428
100481,Malideg Elementary School,120.6790584,17.1608326
100482,Naiba Primary School,120.6456901,16.96665419
100484,Paang Primary School,120.68954,16.97996
100485,Patiacan Elementary School,120.74471,17.11109
100487,Pilipil Elementary School,120.75738,16.93971
100488,Quinayad Elementary School,120.7276,16.9617
100489,Quirino Central School,120.6761655,17.1368914
100490,San Juan Elementary School,120.71959,16.98383
100491,Saoil Primary School,120.6676822,17.1400389
100492,Suagayan Elementary School,120.6756824,17.0946664
100493,Tagpeo Elementary School,120.7333083,16.99176939
100494,Zigzag Pines Elementary School,120.68541,16.98449
100495,Alangan Elementary School,120.3727772,17.6733771
100496,Arinaya Elementary School,120.4127312,17.7011085
100497,Barbarit Elementary School,120.44627,17.710558
100498,Dacutan Elementary School,120.4074933,17.6806289
100499,Maas–Asin Elementary School,120.47204,17.68853
100500,Macatcatud Elementary School,120.4710076,17.7010574
100501,Magsingal North Central School,120.4283194,17.6906645
100502,Magsingal South Central School,120.424,17.685
100503,Manzante Elementary School,120.39761,17.68955
100504,Maratudo Elementary School,120.488369,17.684044
100505,Miramar Elementary School,120.420582,17.709595
100506,Namalpalan Elementary School,120.3866655,17.6767001
100507,Napo Elementary School,120.42975,17.662
100508,Pagsanaan Elementary School,120.4215994,17.7023044
100509,Panay Elementary School,120.3978,17.66981
100511,Puro Elementary School,120.359991,17.687236
100512,Sarsaracat Elementary School,120.470285,17.67922
100513,Ambulogan Elementary School,120.4921374,17.4712181
100514,Anteng Primary School,120.498388,17.4807575
100515,Aquib Elementary School,120.4894423,17.4401545
100516,Banglayan Elementary School,120.5096287,17.4536201
100517,Bulanos Elementary School,120.459104,17.42612
100518,Camarao Elementary School,120.46392,17.45946
100519,Casilagan Elementary School,120.5593,17.4732
100520,Dinalaoan Primary School,120.4846025,17.4294594
100521,Kakaldingan Elementary School,120.48872,17.479524
100522,Lanipao Elementary School,120.5230141,17.4826072
100524,Marozo Elementary School,120.5303,17.4674
100525,Narvacan North Central School,120.47397,17.42586
100526,Orence Elementary School,120.4899507,17.4217749
100527,Parparia Elementary School,120.498,17.4475
100528,Quinarayan Elementary School,120.4713592,17.4453401
100529,Sarmingan Elementary School,120.5301,17.4575
100530,St. Gregory Elementary School,120.46326,17.44827
100531,Tadyaw Ogan Memorial School,125.0459758,6.3216047
100532,Turod Elementary School,120.4615129,17.4191509
100533,Bandril Elementary School,120.5168706,17.4159313
100535,Cadacad Elementary School,120.5639815,17.4797888
100536,Cagayungan Elementary School,120.4915806,17.4029483
100537,Codoog Elementary School,120.51249,17.44219
100538,Dasay Elementary School,120.5023414,17.417211
100539,Lapting Elementary School,120.57496,17.47256
100540,Mapisi Primary School,120.53727,17.44773
100541,Nagbukel Central School,120.52444,17.44426
100542,Nanguneg East Elementary School,120.48106,17.3971
100543,Nanguneg West Elementary School,120.4664499,17.395235
100544,Narvacan South Central School SPED Center,120.4771825,17.4177003
100545,Pantoc Elementary School,120.4606283,17.4104217
100546,Paratong Elementary School,120.47132,17.41858
100547,Rivadavia Elementary School,120.4922284,17.4165456
100548,San Antonio Elementary School,120.47731,17.40893
100549,San Pablo Elementary School,120.50347,17.43345
100550,San Pedro Elementary School,120.46281,17.39842
100551,Sucoc Elementary School,120.5143923,17.4011383
100552,Tadao Elementary School,120.55316,17.45871
100553,Taleb Elementary School,120.5584,17.438041
100554,Abaccan Elementary School,120.5781807,17.0333328
100555,Alfonso Elementary School,120.6094166,17.1710495
100556,Arangin–Dinaratan Elementay School,120.5285808,17.1132034
100557,Baluarte Elementary School,120.5205095,17.1000851
100558,Baracbac Elementary School,120.54595,17.18154
100559,Baybayading Elementary School,120.5709679,17.1170446
100560,Bidbiday Elementary School,120.512092,17.184628
100561,Bitong Elementary School,120.5312043,17.1945865
100563,Bulala–Leguey Elementary School,120.533391,17.1507659
100564,Bussot Elementary School,120.61314,17.12478
100565,Butarag Primary School,120.5979396,17.1512645
100566,Calimugtong Elementary School,120.48318,17.18646
100567,Concepcion Elementary School,120.60971,17.12925
100568,Culiong Elementary School,120.50765,17.12392
100569,Dapdappig Elementary School,120.616683,17.14013
100570,Gregorio Del Pilar Central School,120.6109,17.1499
